LeftGazeOrigin, LefGazeDirection, RightGazeOrigin, RightGazeDirection, CombinedGazeOrigin, CombinedGazeDirection
(33.14, 3.19, -43.13),(-0.02, -0.01, 1.00), (-30.93, 1.70, -40.55), (0.02, -0.03, 1.00), (-6.48, 2.27, -41.53), (0.00, -0.03, 1.00)
(33.12, 3.15, -42.95),(-0.03, 0.00, 1.00), (-30.94, 1.69, -40.49), (0.02, -0.02, 1.00), (10.36, 2.63, -42.07), (-0.01, -0.01, 1.00)
(33.11, 3.42, -43.26),(-0.05, 0.02, 1.00), (-30.97, 2.04, -41.02), (0.01, -0.02, 1.00), (31.85, 3.39, -43.21), (-0.04, 0.02, 1.00)
(33.31, 2.98, -43.17),(0.00, -0.02, 1.00), (-30.59, 1.68, -40.95), (0.05, -0.06, 1.00), (29.90, 2.91, -43.05), (0.00, -0.02, 1.00)
(33.37, 2.73, -42.91),(0.00, -0.03, 1.00), (-30.58, 1.36, -40.65), (0.05, -0.07, 1.00), (2.96, 2.08, -41.83), (0.02, -0.05, 1.00)
(33.31, 2.96, -43.15),(-0.03, -0.01, 1.00), (-30.72, 1.59, -40.92), (0.04, -0.05, 1.00), (-6.87, 2.10, -41.75), (0.01, -0.04, 1.00)
(33.40, 3.24, -43.85),(-0.04, -0.01, 1.00), (-30.76, 1.87, -41.44), (0.02, -0.06, 1.00), (-21.76, 2.06, -41.77), (0.01, -0.05, 1.00)
(33.22, 2.17, -43.45),(0.00, 0.00, 0.00), (-30.62, 1.80, -41.15), (0.00, 0.00, 0.00), (-1.00, -1.00, -1.00), (-1.00, -1.00, -1.00)
(33.22, 2.17, -43.45),(0.00, 0.00, 0.00), (-30.62, 1.80, -41.15), (0.00, 0.00, 0.00), (-1.00, -1.00, -1.00), (-1.00, -1.00, -1.00)
(33.22, 2.17, -43.45),(0.00, 0.00, 0.00), (-30.62, 1.80, -41.15), (0.00, 0.00, 0.00), (-1.00, -1.00, -1.00), (-1.00, -1.00, -1.00)
(33.98, 2.41, -43.42),(0.00, 0.00, 0.00), (-29.91, 0.85, -40.98), (0.00, 0.00, 0.00), (-1.00, -1.00, -1.00), (-1.00, -1.00, -1.00)
(33.58, 2.19, -42.97),(0.00, 0.00, 0.00), (-30.36, 0.77, -40.99), (0.00, 0.00, 0.00), (-1.00, -1.00, -1.00), (-1.00, -1.00, -1.00)
(33.38, 2.15, -42.84),(0.05, -0.17, 0.99), (-30.58, 0.73, -40.98), (0.12, -0.20, 0.97), (-30.58, 0.73, -40.98), (0.12, -0.20, 0.97)
(33.28, 1.93, -42.31),(0.03, -0.17, 0.99), (-30.69, 0.65, -40.88), (0.10, -0.18, 0.98), (-30.64, 0.65, -40.88), (0.10, -0.18, 0.98)
(33.30, 1.93, -42.70),(0.01, -0.17, 0.99), (-30.67, 0.58, -40.97), (0.11, -0.21, 0.97), (-29.12, 0.62, -41.02), (0.10, -0.21, 0.97)
(33.40, 1.90, -42.53),(0.02, -0.17, 0.99), (-30.54, 0.55, -40.93), (0.09, -0.18, 0.98), (-26.44, 0.64, -41.03), (0.09, -0.18, 0.98)
(33.51, 1.82, -42.33),(0.02, -0.15, 0.99), (-30.42, 0.56, -40.94), (0.10, -0.20, 0.97), (-26.12, 0.65, -41.03), (0.09, -0.20, 0.98)
(33.59, 1.87, -42.53),(0.02, -0.15, 0.99), (-30.35, 0.66, -41.03), (0.12, -0.18, 0.98), (-20.31, 0.85, -41.26), (0.10, -0.17, 0.98)
(33.69, 1.89, -42.60),(0.04, -0.15, 0.99), (-30.23, 0.58, -40.82), (0.12, -0.17, 0.98), (-12.22, 0.95, -41.32), (0.10, -0.16, 0.98)
(33.71, 1.90, -42.69),(0.04, -0.15, 0.99), (-30.20, 0.51, -40.72), (0.12, -0.17, 0.98), (8.21, 1.34, -41.90), (0.07, -0.16, 0.99)
